ARADJUSTMENTACCTDAMOUNT,ARADJUSTMENTADJTAXACCTRULE,ARADJUSTMENTADJUSTMENTID,ARADJUSTMENTADJUSTMENTNUMBER,ARADJUSTMENTADJUSTMENTTYPE,ARADJUSTMENTAMOUNT,ARADJUSTMENTAPPLYDATE,ARADJUSTMENTAPPROVEDBY,ARADJUSTMENTASSOCIATEDAPPLICATIONID,ARADJUSTMENTASSOCIATEDCASHRECEIPTID,ARADJUSTMENTATTRIBUTE1,ARADJUSTMENTATTRIBUTE10,ARADJUSTMENTATTRIBUTE11,ARADJUSTMENTATTRIBUTE12,ARADJUSTMENTATTRIBUTE13,ARADJUSTMENTATTRIBUTE14,ARADJUSTMENTATTRIBUTE15,ARADJUSTMENTATTRIBUTE2,ARADJUSTMENTATTRIBUTE3,ARADJUSTMENTATTRIBUTE4,ARADJUSTMENTATTRIBUTE5,ARADJUSTMENTATTRIBUTE6,ARADJUSTMENTATTRIBUTE7,ARADJUSTMENTATTRIBUTE8,ARADJUSTMENTATTRIBUTE9,ARADJUSTMENTATTRIBUTECATEGORY,ARADJUSTMENTAUTOMATICALLYGENERATED,ARADJUSTMENTAXACCOUNTEDFLAG,ARADJUSTMENTBATCHID,ARADJUSTMENTCHARGEBACKCUSTOMERTRXID,ARADJUSTMENTCODECOMBINATIONID,ARADJUSTMENTCOMMENTS,ARADJUSTMENTCONSINVID,ARADJUSTMENTCREATEDBY,ARADJUSTMENTCREATEDFROM,ARADJUSTMENTCREATIONDATE,ARADJUSTMENTCUSTOMERTRXID,ARADJUSTMENTCUSTOMERTRXLINEID,ARADJUSTMENTDISTRIBUTIONSETID,ARADJUSTMENTDOCSEQUENCEID,ARADJUSTMENTDOCSEQUENCEVALUE,ARADJUSTMENTEVENTID,ARADJUSTMENTFREIGHTADJUSTED,ARADJUSTMENTGLDATE,ARADJUSTMENTGLOBALATTRIBUTE1,ARADJUSTMENTGLOBALATTRIBUTE10,ARADJUSTMENTGLOBALATTRIBUTE11,ARADJUSTMENTGLOBALATTRIBUTE12,ARADJUSTMENTGLOBALATTRIBUTE13,ARADJUSTMENTGLOBALATTRIBUTE14,ARADJUSTMENTGLOBALATTRIBUTE15,ARADJUSTMENTGLOBALATTRIBUTE16,ARADJUSTMENTGLOBALATTRIBUTE17,ARADJUSTMENTGLOBALATTRIBUTE18,ARADJUSTMENTGLOBALATTRIBUTE19,ARADJUSTMENTGLOBALATTRIBUTE2,ARADJUSTMENTGLOBALATTRIBUTE20,ARADJUSTMENTGLOBALATTRIBUTE3,ARADJUSTMENTGLOBALATTRIBUTE4,ARADJUSTMENTGLOBALATTRIBUTE5,ARADJUSTMENTGLOBALATTRIBUTE6,ARADJUSTMENTGLOBALATTRIBUTE7,ARADJUSTMENTGLOBALATTRIBUTE8,ARADJUSTMENTGLOBALATTRIBUTE9,ARADJUSTMENTGLOBALATTRIBUTECATEGORY,ARADJUSTMENTGLPOSTEDDATE,ARADJUSTMENTINTERESTHEADERID,ARADJUSTMENTINTERESTLINEID,ARADJUSTMENTLASTUPDATEDATE,ARADJUSTMENTLASTUPDATEDBY,ARADJUSTMENTLASTUPDATELOGIN,ARADJUSTMENTLINENONRECOVERABLE,ARADJUSTMENTLINKTOTRXHISTID,ARADJUSTMENTOBJECTVERSIONNUMBER,ARADJUSTMENTORGID,ARADJUSTMENTPAYMENTSCHEDULEID,ARADJUSTMENTPOSTABLE,ARADJUSTMENTPOSTINGCONTROLID,ARADJUSTMENTPROGRAMAPPLICATIONID,ARADJUSTMENTPROGRAMID,ARADJUSTMENTPROGRAMUPDATEDATE,ARADJUSTMENTREASONCODE,ARADJUSTMENTRECEIVABLESCHARGESADJUSTED,ARADJUSTMENTRECEIVABLESTRXID,ARADJUSTMENTREQUESTID,ARADJUSTMENTSETOFBOOKSID,ARADJUSTMENTSTATUS,ARADJUSTMENTSUBSEQUENTTRXID,ARADJUSTMENTTAXADJUSTED,ARADJUSTMENTTAXNONRECOVERABLE,ARADJUSTMENTTYPE,ARADJUSTMENTUPGRADEMETHOD,ARADJUSTMENTUSSGLTRANSACTIONCODE,ARADJUSTMENTUSSGLTRANSACTIONCODECONTEXT,LINEADJUSTED
"-315.68","33","15278876","16899174","A","-315.68","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136341","","","","","68497478","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:37:41.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21715011","Y","3306415","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-315.68"
"-114","33","15279537","16899835","A","-114","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23141232","","","","","68498139","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:38:21.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21728855","Y","3306416","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-114"
"-77.41","33","15279538","16899836","A","-77.41","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23141233","","","","","68498140","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:38:21.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21728856","Y","3306416","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-77.41"
"-4984.9","33","15279539","16899837","A","-4984.9","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23141235","","","","","68498141","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:38:21.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21728858","Y","3306416","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-4984.9"
"-189.46","33","15279540","16899838","A","-189.46","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23141236","","","","","68498142","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:38:21.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21728859","Y","3306416","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-189.46"
"-26303.69","33","15279541","16899839","A","-26303.69","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23141243","","","","","68498143","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:38:21.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21728866","Y","3306416","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-26303.69"
"-141.37","33","15279542","16899840","A","-141.37","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23138371","","","","","68498144","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:38:21.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21717040","Y","3306416","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-141.37"
"-159.52","33","15279543","16899841","A","-159.52","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23138375","","","","","68498145","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:38:21.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21717044","Y","3306416","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-159.52"
"3.57","33","15274114","16894412","A","3.57","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136109","","","","","68492716","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:36:40.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21714779","Y","3306410","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","3.57"
"3.57","33","15274445","16894743","A","3.57","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23134780","","","","","68493047","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:36:52.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21713450","Y","3306411","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","3.57"
"3.57","33","15274446","16894744","A","3.57","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23134781","","","","","68493048","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:36:52.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21713451","Y","3306411","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","3.57"
