12-MAR-25|6515|1335|4400004631|R|5|0|28.45
12-MAR-25|6517|3870|3800030679|R|6|0|18
12-MAR-25|6517|3870|3940001594|R|7|0|23.03
12-MAR-25|6519|3350|2840000256|R|50|0|25
12-MAR-25|6517|3870|7017722503|R|3|0|20.97
12-MAR-25|6517|3870|7030302208|R|3|0|7.47
12-MAR-25|6519|3350|4319423767|R|2|0|5.98
12-MAR-25|6515|1335|4400006924|R|3|0|12.87
12-MAR-25|6520|1338|1980040109|R|7|0|76.93
12-MAR-25|6520|1338|2100000860|A|12|0|15
12-MAR-25|6520|1338|2100060471|A|5|0|37.45
12-MAR-25|6520|1338|2100061218|R|8|0|51.92
12-MAR-25|6517|3870|69863908001|R|3|0|17.37
12-MAR-25|6517|3870|70592800816|R|1|0|13.99
12-MAR-25|6519|3350|986023|A|183|0|-91.5
12-MAR-25|6515|1335|21766100000|R|125|125|436.25
12-MAR-25|6515|1335|22202400000|R|17|32.92|821.93
12-MAR-25|229|383|4157005982|R|3|0|10.02
12-MAR-25|229|383|6414404302|A|29|0|25
12-MAR-25|229|383|7020083777|R|6|0|47.94
12-MAR-25|229|383|7047049662|A|7|0|38.43
12-MAR-25|229|383|7056086301|R|5|0|15
12-MAR-25|229|383|7056097806|R|13|0|39
12-MAR-25|229|383|7756760332|R|9|0|44.91
12-MAR-25|249|7672|9628|R|7|0|0
12-MAR-25|440|306|920086202|R|1|0|4.99
12-MAR-25|515|307|7271400799|A|11|0|32.89
12-MAR-25|515|307|7321400171|R|1|0|3.19
12-MAR-25|440|306|2430004431|R|31|0|77.5
12-MAR-25|440|306|2500013642|R|6|0|20.94
12-MAR-25|440|306|2700044193|R|6|0|10
12-MAR-25|440|306|2700050006|R|5|0|7.5
12-MAR-25|230|3017|8787263336|R|4|0|51.96
12-MAR-25|6517|3870|3003491354|R|5|0|149.95
12-MAR-25|6515|1335|1600013978|R|3|0|9.87
12-MAR-25|6515|1335|1600014943|R|11|0|60.39
12-MAR-25|6515|1335|1600015087|R|6|0|29.94
12-MAR-25|6517|3870|3800027088|R|4|0|17.96
12-MAR-25|6515|1335|3003406902|R|6|0|10.14
12-MAR-25|6517|3870|7020085723|R|2|0|9.98
12-MAR-25|6517|3870|7056090161|R|3|0|10.47
12-MAR-25|6517|3870|8811015055|R|25|0|999.75
